steamid,personaname,profileurl,time_created,country,state,city
76561197993157924,Bahx,https://steamcommunity.com/profiles/76561197993157924/,Sat Oct  6 16:32:07 2007,United States,California,Santa Rosa
76561197993278872,koral06,https://steamcommunity.com/id/Koral06/,Thu Oct 11 10:41:08 2007,United States,California,Los Angeles
76561197993345099,Xevo,https://steamcommunity.com/id/Xevo1979/,Sun Oct 14 17:24:20 2007,United States,,
76561197993498047,The Hitcher,https://steamcommunity.com/profiles/76561197993498047/,Sat Oct 20 01:35:20 2007,,,
76561197993519608,twentytwo,https://steamcommunity.com/id/thevoid22/,,,,
76561197993613671,SinisterSausage,https://steamcommunity.com/profiles/76561197993613671/,Tue Oct 23 16:13:01 2007,United States,Alaska,
76561197993888185,Patters,https://steamcommunity.com/id/patters/,Fri Nov  2 17:35:22 2007,United Kingdom (Great Britain),Greater Manchester,
76561197994401451,Eirei,https://steamcommunity.com/id/eirei/,,,,
76561197994871291,T_Vidotto,https://steamcommunity.com/id/tvidotto/,Thu Dec 13 22:15:54 2007,Brazil,,
76561197995459327,mizU,https://steamcommunity.com/id/kokimiyoi/,Wed Jan  2 15:41:29 2008,United States,Hawaii,
76561197997348592,Torte de Lini,https://steamcommunity.com/id/0825771/,Sun Mar 16 15:24:24 2008,Canada,Quebec,Montreal
76561197997372873,deinos,https://steamcommunity.com/profiles/76561197997372873/,Wed Mar 19 14:35:23 2008,United States,Washington,Seattle
76561197998260907,mysled,https://steamcommunity.com/id/mysled/,,,,
76561197998298315,iPlayForKeeps,https://steamcommunity.com/profiles/76561197998298315/,Wed Apr 30 22:32:32 2008,,,
76561197998959942,Chip Munk Bot,https://steamcommunity.com/id/ChipMunker/,Thu May 29 22:11:16 2008,United States,Utah,Layton
76561197999842654,fuhred,https://steamcommunity.com/id/mustyfrump/,Wed Jul  9 19:00:12 2008,Seychelles,Anse Etoile,
76561198000563959,buffy2,https://steamcommunity.com/id/buffy214/,Sat Aug 16 16:59:11 2008,,,
76561198000939863,Rabid_Squirrel35,https://steamcommunity.com/profiles/76561198000939863/,Tue Sep  2 16:42:30 2008,United States,,
76561198001006750,mM_UNITTTTT,https://steamcommunity.com/profiles/76561198001006750/,Wed Sep  3 23:44:06 2008,,,
76561198001716143,Dr.Dunkenstien,https://steamcommunity.com/id/TehKikka/,Fri Oct 10 02:19:46 2008,United States,Washington,Seattle
76561198001768174,MIИG,https://steamcommunity.com/id/mingdota/,Fri Oct 10 08:17:36 2008,,,
76561198001912835,(_o_),https://steamcommunity.com/id/kimrom/,Sat Oct 18 18:17:59 2008,Spain,,
76561198001960051,ScissorBot,https://steamcommunity.com/profiles/76561198001960051/,Mon Oct 20 23:43:17 2008,United States,Oregon,Portland
76561198002194344,Dozzaaaay,https://steamcommunity.com/id/DozIR/,Tue Oct 28 21:44:54 2008,United States,,
76561198002355661,refleksy,https://steamcommunity.com/id/refleksy/,Wed Nov  5 22:06:14 2008,United States,North Carolina,Winston-salem
76561198002410816,m4sterofmurder,https://steamcommunity.com/profiles/76561198002410816/,Thu Nov  6 10:44:03 2008,,,
76561198002419740,Silver,https://steamcommunity.com/id/silver6162/,Thu Nov  6 15:55:24 2008,United States,Washington,Bellevue
76561198002589157,Jurassica,https://steamcommunity.com/id/haharleyquinn/,Thu Nov 13 17:08:58 2008,United States,Ohio,
76561198002873272,"Mr. Barnesworth, Esq.",https://steamcommunity.com/profiles/76561198002873272/,Mon Nov 17 02:02:11 2008,United States,Washington,Bellevue
76561198003040300,Hemtroll,https://steamcommunity.com/id/Hemtroll/,Thu Nov 20 11:01:22 2008,Sweden,,
76561198003127674,J00tastic,https://steamcommunity.com/profiles/76561198003127674/,Fri Nov 21 22:17:32 2008,United States,,
76561198004432031,Frau Blucher,https://steamcommunity.com/profiles/76561198004432031/,Fri Dec 26 18:14:06 2008,United States,Arizona,Phoenix
76561198004861630,Lone Swordsman,https://steamcommunity.com/id/LoneSwordsman/,Sun Jan  4 23:13:18 2009,United States,Texas,Austin
76561198005615861,MurchantofDeath,https://steamcommunity.com/id/professorjones/,Wed Jan 28 00:26:09 2009,United States,Washington,Seattle
76561198006019416,David Lee Roth,https://steamcommunity.com/profiles/76561198006019416/,Fri Feb  6 16:05:13 2009,United States,California,Pasadena
76561198008641395,m3chashiva,https://steamcommunity.com/profiles/76561198008641395/,Sat Apr  4 20:28:12 2009,,,
76561198008905080,Solar,https://steamcommunity.com/id/SolarCalibrator/,Sat Apr 11 06:01:32 2009,Australia,,
76561198009246617,Vanaman,https://steamcommunity.com/profiles/76561198009246617/,Wed Apr 22 17:28:47 2009,United States,Washington,Seattle
76561198009621609,bagelcc,https://steamcommunity.com/id/bagelcc/,Sun May  3 15:42:15 2009,United States,Massachusetts,
76561198011769010,antiturtle,https://steamcommunity.com/profiles/76561198011769010/,Thu Jul  9 23:25:42 2009,,,
76561198013890279,tobah,https://steamcommunity.com/profiles/76561198013890279/,Tue Sep 22 18:53:33 2009,United States,,
76561198014518024,Krusovice,https://steamcommunity.com/profiles/76561198014518024/,Tue Oct 13 17:23:58 2009,United States,California,
76561198014674983,Lomar,https://steamcommunity.com/id/lomar/,,,,
76561198014899541,jimminy jillikers,https://steamcommunity.com/id/76561198014899541/,,,,
76561198015505674,JClay,https://steamcommunity.com/id/cabaday/,Mon Nov  9 21:08:11 2009,,,
76561198017660416,donutsdad,https://steamcommunity.com/profiles/76561198017660416/,Sun Dec  6 20:52:36 2009,,,
76561198020402734,デイブ TCRANTZ,https://steamcommunity.com/profiles/76561198020402734/,Tue Jan 26 23:39:26 2010,United States,Illinois,Chicago
76561198022230117,Hyper RPG,https://steamcommunity.com/id/zaceubank/,Thu Mar 11 00:58:51 2010,,,
76561198024985589,Hexagon,https://steamcommunity.com/id/the_hexagon/,Wed May 12 19:45:11 2010,United States,California,Encinitas
76561198025038390,Rubick's Cube,https://steamcommunity.com/id/RBCube/,Wed May 12 21:57:29 2010,United States,Washington,Seattle
76561198025107405,BumbleCrumb,https://steamcommunity.com/profiles/76561198025107405/,Thu May 13 11:13:57 2010,,,
76561198025160506,Peupie,https://steamcommunity.com/id/thisfeliciaday/,Thu May 13 13:53:11 2010,United States,,
76561198025857369,AHalfDozenSpartans,https://steamcommunity.com/profiles/76561198025857369/,Mon May 24 11:41:19 2010,,,
76561198026562132,pudge,https://steamcommunity.com/id/purgegamers/,Sat Jun 12 18:21:22 2010,,,
76561198027254636,Sirhcz0r,https://steamcommunity.com/profiles/76561198027254636/,,,,
76561198027893382,Sunny,https://steamcommunity.com/profiles/76561198027893382/,,,,
76561198028024321,BattleUnicorn,https://steamcommunity.com/id/onlyshrn/,,,,
76561198028038144,ksn0va,https://steamcommunity.com/id/ksn0va/,Thu Jul 22 14:03:51 2010,Philippines,Cebu,
76561198028452006,SirActionSlacks,https://steamcommunity.com/id/SirActionSlacks/,Sun Aug  1 12:47:34 2010,United States,,
76561198031241994,DiglettD,https://steamcommunity.com/id/dauvel/,Wed Sep 29 23:32:03 2010,United States,Indiana,
76561198032083188,WHiT3R4bBiT,https://steamcommunity.com/id/WHiT3R4bBiT/,,,,
76561198032577914,Thuggles,https://steamcommunity.com/id/XtremelyNude/,,,,
76561198033622971,ParkDiddy,https://steamcommunity.com/id/fatalsylence/,Mon Nov 15 21:32:44 2010,United States,,
76561198034385820,DoubleH,https://steamcommunity.com/profiles/76561198034385820/,Mon Nov 29 20:40:05 2010,United States,,
76561198035587857,follow me on soundcloud,https://steamcommunity.com/id/SlugMD/,Sat Dec 25 05:37:19 2010,United Kingdom (Great Britain),Glasgow City,
76561198037534651,민티,https://steamcommunity.com/profiles/76561198037534651/,,,,
76561198040468345,Morty,https://steamcommunity.com/profiles/76561198040468345/,Mon Apr 11 03:15:14 2011,,,
76561198040636088,Adamk24,https://steamcommunity.com/profiles/76561198040636088/,Thu Apr 14 23:57:09 2011,,,
76561198040723960,n1000,https://steamcommunity.com/profiles/76561198040723960/,Sat Apr 16 22:00:20 2011,United States,California,
76561198041573970,rcopple,https://steamcommunity.com/profiles/76561198041573970/,Fri May  6 20:11:27 2011,,,
